"dbms","table_catalog","table_schema","table_name","column_name","ordinal_position","data_type","character_maximum_length","constraint_type","table_schema-2","table_name-2","column_name-2"
"postgresql","LinkGPStracking","tracking","daily_routes_ml","device_id",2,"bigint",NULL,"FOREIGN KEY","tracking","tracked_devices","id"
"postgresql","LinkGPStracking","tracking","daily_routes_ml","id",1,"bigint",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","LinkGPStracking","tracking","anomaly_models_ml","device_id",2,"bigint",NULL,"FOREIGN KEY","tracking","tracked_devices","id"
"postgresql","LinkGPStracking","tracking","anomaly_models_ml","id",1,"bigint",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","LinkGPStracking","tracking","route_anomalies_ml","device_id",2,"bigint",NULL,"FOREIGN KEY","tracking","tracked_devices","id"
"postgresql","LinkGPStracking","tracking","route_anomalies_ml","id",1,"bigint",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","LinkGPStracking","tracking","route_clusters_ml","device_id",2,"bigint",NULL,"FOREIGN KEY","tracking","tracked_devices","id"
"postgresql","LinkGPStracking","tracking","route_clusters_ml","id",1,"bigint",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_cache","cache_inval_extension",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_cache","cache_inval_bgw_job",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_cache","cache_inval_hypertable",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_catalog","compression_settings","compress_relid",2,"regclass",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","public","risk_zones","name",2,"text",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_catalog","chunk_column_stats","range_end",6,"bigint",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","tracking","alerts","resolved",7,"boolean",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","tracking","geofences","type",7,"character varying",10,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_catalog","compression_algorithm","description",4,"text",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_catalog","compression_chunk_size","uncompressed_heap_size",3,"bigint",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","tracking","device_events","position_id",4,"bigint",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_catalog","continuous_aggs_hypertable_invalidation_log","lowest_modified_value",2,"bigint",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","public","risk_zones","votes_up",7,"integer",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_catalog","continuous_aggs_bucket_function","bucket_width",3,"text",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_catalog","dimension","integer_now_func",12,"name",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_catalog","bgw_job","application_name",2,"name",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","tracking","route_anomalies_ml","latitude",3,"double precision",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","tracking","device_events","metadata",6,"jsonb",NULL,NULL,NULL,NULL,NULL
